Signal:	FFT - Vib Velocity - Magnitude [dB]
dB-Reference:	0 dB = 1 m/s
Frequency	Magnitude
[ Hz ]	[ dB ]
56.396484375	-68.33648
56.640625	-67.70058
56.884765625	-67.16747
57.12890625	-66.83544
57.373046875	-66.76308
57.6171875	-66.79144
57.861328125	-66.85491
58.10546875	-66.92653
58.349609375	-66.99184
58.59375	-67.03496
58.837890625	-67.09094
59.08203125	-67.13609
59.326171875	-67.14797
59.5703125	-67.07446
59.814453125	-66.91636
60.05859375	-66.64008
60.302734375	-66.53011
60.546875	-66.72813
60.791015625	-66.78194
61.03515625	-66.65521
61.279296875	-66.40705
61.5234375	-65.94044
61.767578125	-65.22414
62.01171875	-64.45407
62.255859375	-64.01423
62.5	-64.19713
62.744140625	-64.93993
62.98828125	-65.89873
63.232421875	-66.62508
63.4765625	-67.15723
63.720703125	-67.5359
63.96484375	-67.77052
64.208984375	-67.92313
64.453125	-68.05269
64.697265625	-68.07005
64.94140625	-67.94011
65.185546875	-67.72927
65.4296875	-67.53658
65.673828125	-67.42619
65.91796875	-67.35666
66.162109375	-67.29249
66.40625	-67.19707
66.650390625	-67.07451
66.89453125	-66.92203
67.138671875	-66.72297
67.3828125	-66.52048
67.626953125	-66.25842
67.87109375	-66.0033
68.115234375	-65.67754
68.359375	-65.39983
68.603515625	-65.09138
68.84765625	-64.78828
69.091796875	-64.55689
69.3359375	-64.40387
69.580078125	-64.1895
69.82421875	-63.91831
70.068359375	-63.69616
70.3125	-63.43832
70.556640625	-63.24611
70.80078125	-63.21945
71.044921875	-63.30646
71.2890625	-63.45235
71.533203125	-63.60711
71.77734375	-63.79401
72.021484375	-63.96029
72.265625	-64.13597
72.509765625	-64.26736
72.75390625	-64.4176
72.998046875	-64.57487
73.2421875	-64.75175
73.486328125	-64.93482
73.73046875	-65.13297
73.974609375	-65.27607
74.21875	-65.427
74.462890625	-65.5765
74.70703125	-65.70661
74.951171875	-65.82005
75.1953125	-65.93669
75.439453125	-66.02761
75.68359375	-66.09241
75.927734375	-66.12811
76.171875	-66.08333
76.416015625	-66.0405
76.66015625	-65.85873
76.904296875	-65.64297
77.1484375	-65.59355
77.392578125	-65.65192
77.63671875	-65.66747
77.880859375	-65.60609
78.125	-65.48767
78.369140625	-65.28077
78.61328125	-65.00975
78.857421875	-64.67499
79.1015625	-64.23528
79.345703125	-63.73541
79.58984375	-63.1744
79.833984375	-62.58747
80.078125	-62.00121
80.322265625	-61.42506
80.56640625	-60.88539
80.810546875	-60.5143
81.0546875	-60.20731
81.298828125	-59.99879
81.54296875	-59.85385
81.787109375	-59.80345
82.03125	-59.76637
82.275390625	-59.74641
82.51953125	-59.74085
82.763671875	-59.79368
83.0078125	-59.92296
83.251953125	-60.10764
83.49609375	-60.31296
83.740234375	-60.56299
83.984375	-60.82141
84.228515625	-61.11546
84.47265625	-61.40839
84.716796875	-61.71558
84.9609375	-62.05528
85.205078125	-62.36269
85.44921875	-62.68007
85.693359375	-62.96421
85.9375	-63.22112
86.181640625	-63.41208
86.42578125	-63.55392
86.669921875	-63.64479
86.9140625	-63.86672
87.158203125	-64.03109
87.40234375	-64.08583
87.646484375	-64.21602
87.890625	-64.56145
88.134765625	-65.02835
88.37890625	-65.45393
88.623046875	-65.86799
88.8671875	-66.21758
89.111328125	-66.5809
89.35546875	-66.92538
89.599609375	-67.26705
89.84375	-67.58121
90.087890625	-67.86559
90.33203125	-68.13988
90.576171875	-68.39585
90.8203125	-68.58823
91.064453125	-68.80053
91.30859375	-68.95786
91.552734375	-69.12549
91.796875	-69.22928
92.041015625	-69.35889
92.28515625	-69.46715
92.529296875	-69.5452
92.7734375	-69.61945
93.017578125	-69.68408
93.26171875	-69.72169
93.505859375	-69.76579
93.75	-69.76686
93.994140625	-69.77411
94.23828125	-69.75014
94.482421875	-69.69971
94.7265625	-69.62073
94.970703125	-69.50518
95.21484375	-69.34794
95.458984375	-69.09732
95.703125	-68.75134
95.947265625	-68.22147
96.19140625	-67.56815
96.435546875	-66.73199
96.6796875	-65.73256
96.923828125	-64.62888
97.16796875	-63.52075
97.412109375	-62.49527
97.65625	-61.75737
97.900390625	-61.48447
98.14453125	-61.72611
98.388671875	-62.31773
98.6328125	-63.0464
98.876953125	-63.69724
99.12109375	-64.1886
99.365234375	-64.52145
99.609375	-64.73943
99.853515625	-64.79752
100.09765625	-64.7871
100.34179688	-64.66622
100.5859375	-64.41792
100.83007813	-64.01965
101.07421875	-63.42255
101.31835938	-62.58557
101.5625	-61.53555
101.80664063	-60.44044
102.05078125	-59.75677
102.29492188	-59.91617
102.5390625	-60.71474
102.78320313	-61.5779
103.02734375	-62.26298
103.27148438	-62.64578
103.515625	-62.85696
103.75976563	-62.90806
104.00390625	-62.80391
104.24804688	-62.57032
104.4921875	-62.24521
104.73632813	-61.79636
104.98046875	-61.24606
105.22460938	-60.591
105.46875	-59.82547
105.71289063	-58.94464
105.95703125	-57.97173
106.20117188	-56.88456
106.4453125	-55.74966
106.68945313	-54.62678
106.93359375	-53.58344
107.17773438	-52.70034
107.421875	-52.09188
107.66601563	-51.798
107.91015625	-51.88472
108.15429688	-52.27546
108.3984375	-52.91858
108.64257813	-53.68653
108.88671875	-54.52995
109.13085938	-55.37212
109.375	-56.19089
109.61914063	-56.94233
109.86328125	-57.65976
110.10742188	-58.32039
110.3515625	-58.95199
110.59570313	-59.54176
110.83984375	-60.0953
111.08398438	-60.60632
111.328125	-61.10756
111.57226563	-61.56241
111.81640625	-61.98644
112.06054688	-62.38177
112.3046875	-62.7402
112.54882813	-63.07129
112.79296875	-63.37925
113.03710938	-63.65247
113.28125	-63.90254
113.52539063	-64.1349
113.76953125	-64.35458
114.01367188	-64.55426
114.2578125	-64.74229
114.50195313	-64.9185
114.74609375	-65.06965
114.99023438	-65.20076
115.234375	-65.33492
115.47851563	-65.45211
115.72265625	-65.5428
115.96679688	-65.62751
116.2109375	-65.69101
116.45507813	-65.7361
116.69921875	-65.75621
116.94335938	-65.75797
117.1875	-65.73785
117.43164063	-65.65359
117.67578125	-65.50592
117.91992188	-65.25785
118.1640625	-64.88058
118.40820313	-64.37318
118.65234375	-63.74686
118.89648438	-63.07983
119.140625	-62.53534
119.38476563	-62.38663
119.62890625	-62.71786
119.87304688	-63.27709
120.1171875	-63.83851
120.36132813	-64.24077
120.60546875	-64.49883
120.84960938	-64.63239
121.09375	-64.67439
121.33789063	-64.63517
121.58203125	-64.52311
121.82617188	-64.36916
122.0703125	-64.17962
122.31445313	-63.97743
122.55859375	-63.78104
122.80273438	-63.57156
123.046875	-63.34371
123.29101563	-63.14538
123.53515625	-63.03732
123.77929688	-63.0678
124.0234375	-63.20049
124.26757813	-63.28158
124.51171875	-63.23331
124.75585938	-63.10097
125	-62.89133
125.24414063	-62.63459
125.48828125	-62.3297
125.73242188	-61.98208
125.9765625	-61.60687
126.22070313	-61.19812
126.46484375	-60.73996
126.70898438	-60.25674
126.953125	-59.71656
127.19726563	-59.10896
127.44140625	-58.45018
127.68554688	-57.71677
127.9296875	-56.92382
128.17382813	-56.05513
128.41796875	-55.09969
128.66210938	-54.09307
128.90625	-53.06652
129.15039063	-52.0168
129.39453125	-51.0356
129.63867188	-50.23328
129.8828125	-49.69292
130.12695313	-49.54214
130.37109375	-49.81445
130.61523438	-50.46494
130.859375	-51.32027
131.10351563	-52.25779
131.34765625	-53.18901
131.59179688	-54.09034
131.8359375	-54.92519
132.08007813	-55.72204
132.32421875	-56.47923
132.56835938	-57.18388
132.8125	-57.87085
133.05664063	-58.50118
133.30078125	-59.11251
133.54492188	-59.70547
133.7890625	-60.25845
134.03320313	-60.78967
134.27734375	-61.30182
134.52148438	-61.78497
134.765625	-62.23676
135.00976563	-62.67554
135.25390625	-63.08398
135.49804688	-63.48294
135.7421875	-63.84266
135.98632813	-64.20679
136.23046875	-64.53545
136.47460938	-64.8533
136.71875	-65.15082
136.96289063	-65.43216
137.20703125	-65.69883
137.45117188	-65.95419
137.6953125	-66.18231
137.93945313	-66.40562
138.18359375	-66.61505
138.42773438	-66.80245
138.671875	-66.98646
138.91601563	-67.1388
139.16015625	-67.30074
139.40429688	-67.44174
139.6484375	-67.57083
139.89257813	-67.6854
140.13671875	-67.79721
140.38085938	-67.89596
140.625	-67.99445
140.86914063	-68.05234
141.11328125	-68.11801
141.35742188	-68.13951
141.6015625	-68.10606
141.84570313	-68.06203
142.08984375	-67.97063
142.33398438	-67.82021
142.578125	-67.58633
142.82226563	-67.27833
143.06640625	-66.86812
143.31054688	-66.35828
143.5546875	-65.78194
143.79882813	-65.21479
144.04296875	-64.66673
144.28710938	-64.11348
144.53125	-63.5175
144.77539063	-62.77465
145.01953125	-61.9146
145.26367188	-60.9797
145.5078125	-60.00021
145.75195313	-59.12399
145.99609375	-58.47915
146.24023438	-58.19962
146.484375	-58.41635
146.72851563	-59.04358
146.97265625	-59.89476
147.21679688	-60.77475
147.4609375	-61.57528
147.70507813	-62.25565
147.94921875	-62.8219
148.19335938	-63.26414
148.4375	-63.57446
148.68164063	-63.74115
148.92578125	-63.73783
149.16992188	-63.5719
149.4140625	-63.19397
149.65820313	-62.63311
149.90234375	-61.9032
150.14648438	-61.16187
150.390625	-60.63743
150.63476563	-60.54952
150.87890625	-60.91455
151.12304688	-61.52539
151.3671875	-62.15245
151.61132813	-62.70026
151.85546875	-63.12807
152.09960938	-63.41094
152.34375	-63.5792
152.58789063	-63.6425
152.83203125	-63.61103
153.07617188	-63.49125
153.3203125	-63.28893
153.56445313	-63.02628
153.80859375	-62.69083
154.05273438	-62.28714
154.296875	-61.79324
154.54101563	-61.22202
154.78515625	-60.55825
155.02929688	-59.80683
155.2734375	-58.9551
155.51757813	-58.02578
155.76171875	-57.02556
156.00585938	-56.03114
156.25	-55.08848
156.49414063	-54.35097
156.73828125	-53.93114
156.98242188	-53.96864
157.2265625	-54.4361
157.47070313	-55.16158
157.71484375	-55.98363
157.95898438	-56.756
158.203125	-57.39928
158.44726563	-57.89387
158.69140625	-58.2416
158.93554688	-58.56471
159.1796875	-58.94761
159.42382813	-59.4881
159.66796875	-60.15325
159.91210938	-60.89754
160.15625	-61.66405
160.40039063	-62.39738
160.64453125	-63.09853
160.88867188	-63.76766
161.1328125	-64.39001
161.37695313	-64.96082
161.62109375	-65.49531
161.86523438	-66.00195
162.109375	-66.47624
162.35351563	-66.91814
162.59765625	-67.34479
162.84179688	-67.75266
163.0859375	-68.11532
163.33007813	-68.49393
163.57421875	-68.82696
163.81835938	-69.1546
164.0625	-69.46084
164.30664063	-69.7284
164.55078125	-69.96848
164.79492188	-70.18037
